day,open,clics
2024-03-14,0,0
2024-03-15,84,83
2024-03-16,155,153
2024-03-17,85,76
2024-03-18,46,40
2024-03-19,24,24
2024-03-20,17,0
2024-03-21,8,4
2024-03-22,27,21
2024-03-23,58,50
2024-03-24,24,9
2024-03-25,39,38
2024-03-26,41,37
2024-03-27,15,2
2024-03-28,9,8
2024-03-29,8,8
2024-03-30,1,4
2024-03-31,4,4
2024-04-01,25,25
2024-04-02,101,99
2024-04-03,45,42
2024-04-04,26,23
2024-04-05,22,16
2024-04-06,25,26
2024-04-07,10,12
2024-04-08,48,39
2024-04-09,79,52
2024-04-10,26,24
2024-04-11,15,4
2024-04-12,12,0
2024-04-13,6,6
2024-04-14,7,0
2024-04-15,36,0
2024-04-16,87,21
2024-04-17,27,18
2024-04-18,19,0
2024-04-19,6,4
2024-04-20,6,7
2024-04-21,7,0
2024-04-22,45,22
2024-04-23,69,63
2024-04-24,16,10
2024-04-25,13,13
2024-04-26,5,0
2024-04-27,4,0
2024-04-28,0,0
2024-04-29,38,34
2024-04-30,59,42
2024-05-01,16,0
2024-05-02,21,0
2024-05-03,7,0
2024-05-04,5,0
2024-05-05,5,0
2024-05-06,43,42
2024-05-07,58,47
